observation_id,observation_family,observation_level,observation_status,source_outcome_shell_id,source_confirmed_candidate_id,symbol,timeframe,session_id,session_timezone,session_local_date,cross_direction,cross_mode,cross_bar_time_utc,cross_trigger_price,ib_same_side_edge_value,bars_after_cross_count,return_inside_ib_observed_same_day,first_return_inside_ib_bar_time_utc,max_extension_price_same_day,max_extension_distance_over_ib,session_close_price,session_close_beyond_ib,observation_scope
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-21|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-21|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-21|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-21,up,close,2021-06-21T16:15:00Z,1.38936,1.38869,46,1,2021-06-21T16:30:00Z,1.39369,0.00500,1.39124,1,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-25|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-25|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-25|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-25,down,close,2021-06-25T14:30:00Z,1.38965,1.38981,37,1,2021-06-25T14:45:00Z,1.38707,0.00274,1.38801,1,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-30|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-30|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-30|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-30,down,close,2021-06-30T15:00:00Z,1.38502,1.38555,51,1,2021-06-30T15:15:00Z,1.37979,0.00576,1.38115,1,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-02|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-02|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-02|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-02,down,close,2021-07-02T08:45:00Z,1.37666,1.37670,56,1,2021-07-02T15:30:00Z,1.37305,0.00365,1.38343,0,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-05|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-05|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-05|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-05,down,wick,2021-07-05T15:45:00Z,1.38436,1.38449,48,1,2021-07-05T16:00:00Z,1.38351,0.00098,1.38573,0,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-09|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-09|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-09|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-09,up,wick,2021-07-09T08:00:00Z,1.37815,1.37807,59,1,2021-07-09T08:15:00Z,1.38924,0.01117,1.38906,1,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-14|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-14|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-14|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-14,down,wick,2021-07-14T14:30:00Z,1.3853,1.38544,53,1,2021-07-14T14:45:00Z,1.38345,0.00199,1.38407,1,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-02|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-02|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-02|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-02,down,wick,2021-08-02T14:45:00Z,1.3893,1.38968,52,1,2021-08-02T15:00:00Z,1.38725,0.00243,1.38939,1,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-04|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-04|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-04|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-04,up,close,2021-08-04T08:15:00Z,1.39282,1.39278,58,1,2021-08-04T08:30:00Z,1.3957,0.00292,1.38868,0,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-05|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-05|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-05|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-05,up,close,2021-08-05T08:00:00Z,1.38953,1.38926,59,1,2021-08-05T08:30:00Z,1.39482,0.00556,1.39307,1,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-11|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-11|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-11|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-11,up,close,2021-08-11T08:15:00Z,1.38324,1.38309,58,1,2021-08-11T08:30:00Z,1.38872,0.00563,1.38702,1,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-11|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,no_return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-11|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-11|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-11,up,close,2021-08-11T14:30:00Z,1.38257,1.38189,53,0,,1.38872,0.00683,1.387,1,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-17|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-17|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-17|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-17,up,wick,2021-08-17T14:30:00Z,1.37967,1.37963,53,1,2021-08-17T14:45:00Z,1.3795,-0.00013,1.37406,0,same_local_date_after_confirmed_cross
